Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,Lazio,Spezia,2,1,H,0,0,D,11,7,5,3,18,21,3,4,3,3,2,0
I1,Napoli,Crotone,4,3,H,3,1,H,28,8,11,4,5,17,4,6,0,4,0,0
I1,Sassuolo,Roma,2,2,D,0,1,A,12,12,6,9,15,15,3,4,4,3,0,0
I1,Torino,Juventus,2,2,D,1,1,D,10,18,7,9,16,15,5,6,3,2,0,0
I1,Bologna,Inter,0,1,A,0,1,A,12,12,3,5,17,15,4,4,4,4,0,0
I1,Inter,Sassuolo,2,1,H,1,0,H,8,14,5,5,8,13,1,8,2,3,0,0
I1,Juventus,Napoli,2,1,H,1,0,H,12,15,3,5,17,12,2,6,1,2,0,0
I1,Spezia,Crotone,3,2,H,0,1,A,9,9,7,6,12,15,3,4,1,1,0,0
I1,Parma,Milan,1,3,A,0,2,A,15,11,5,7,14,11,7,3,4,4,0,1
I1,Udinese,Torino,0,1,A,0,0,D,12,9,5,2,21,19,5,4,0,3,0,0
I1,Inter,Cagliari,1,0,H,0,0,D,15,8,8,2,10,12,5,0,1,1,0,0
I1,Juventus,Genoa,3,1,H,2,0,H,23,11,14,3,15,11,8,6,3,3,0,0
I1,Sampdoria,Napoli,0,2,A,0,1,A,11,20,5,9,14,10,8,7,0,3,0,0
I1,Verona,Lazio,0,1,A,0,0,D,4,14,1,5,15,13,5,4,0,2,0,0
I1,Roma,Bologna,1,0,H,1,0,H,14,11,7,5,14,14,4,6,3,2,0,0
I1,Fiorentina,Atalanta,2,3,A,0,2,A,8,14,2,9,15,13,0,6,3,1,0,0
I1,Benevento,Sassuolo,0,1,A,0,1,A,9,14,5,4,12,14,3,8,3,2,0,0
I1,Crotone,Udinese,1,2,A,0,1,A,7,14,3,7,12,19,5,7,0,2,0,1
I1,Sampdoria,Verona,3,1,H,0,1,A,12,18,5,8,16,14,5,7,3,3,0,0
I1,Sassuolo,Fiorentina,3,1,H,0,1,A,11,7,6,6,8,16,3,4,3,5,0,0
I1,Cagliari,Parma,4,3,H,1,2,A,23,11,9,6,14,12,0,4,4,2,0,0
I1,Milan,Genoa,2,1,H,1,1,D,18,11,5,6,10,13,5,4,0,1,0,0
I1,Atalanta,Juventus,1,0,H,0,0,D,12,12,2,3,18,15,3,8,3,2,0,0
I1,Bologna,Spezia,4,1,H,2,1,H,10,9,7,5,15,12,4,8,1,1,0,0
I1,Lazio,Benevento,5,3,H,3,1,H,12,16,8,8,14,11,5,4,2,3,0,0
I1,Torino,Roma,3,1,H,0,1,A,23,9,11,4,13,13,11,3,2,2,0,1
I1,Napoli,Inter,1,1,D,1,0,H,12,10,3,5,12,12,3,3,5,2,0,0
I1,Verona,Fiorentina,1,2,A,0,1,A,11,7,7,5,16,20,5,3,2,3,0,0
I1,Milan,Sassuolo,1,2,A,1,0,H,18,15,7,7,18,13,3,7,0,1,0,0
I1,Bologna,Torino,1,1,D,1,0,H,9,18,2,5,25,15,3,7,4,2,0,0
I1,Crotone,Sampdoria,0,1,A,0,0,D,7,11,4,5,13,7,2,6,1,1,0,0
I1,Genoa,Benevento,2,2,D,2,2,D,10,8,5,2,14,18,3,0,2,0,0,0
I1,Juventus,Parma,3,1,H,1,1,D,14,10,8,4,12,18,6,6,2,2,0,0
I1,Spezia,Inter,1,1,D,1,1,D,1,15,1,6,9,7,0,8,2,0,0,0
I1,Udinese,Cagliari,0,1,A,0,0,D,14,13,4,5,11,14,2,5,0,2,0,0
I1,Roma,Atalanta,1,1,D,0,1,A,14,22,3,9,16,7,4,8,4,2,1,1
I1,Napoli,Lazio,5,2,H,2,0,H,10,14,8,4,7,18,2,3,4,4,0,0
I1,Genoa,Spezia,2,0,H,0,0,D,11,7,6,1,18,14,0,3,2,2,0,0
I1,Parma,Crotone,3,4,A,1,3,A,15,13,4,5,15,11,7,5,3,2,0,0
I1,Sassuolo,Sampdoria,1,0,H,0,0,D,14,9,8,3,15,10,8,3,0,0,0,0
I1,Benevento,Udinese,2,4,A,1,2,A,22,10,9,7,18,20,11,2,2,2,0,0
I1,Fiorentina,Juventus,1,1,D,1,0,H,11,7,6,1,13,16,7,2,3,1,0,0
I1,Inter,Verona,1,0,H,0,0,D,10,12,4,1,7,13,3,8,0,3,0,0
I1,Cagliari,Roma,3,2,H,1,1,D,10,12,6,7,14,17,4,10,3,1,0,0
I1,Atalanta,Bologna,5,0,H,2,0,H,26,9,12,3,11,8,8,3,0,1,0,1
I1,Torino,Napoli,0,2,A,0,2,A,15,25,6,10,16,15,8,11,3,1,1,0
I1,Lazio,Milan,3,0,H,1,0,H,14,15,6,6,10,11,1,9,2,0,0,0
I1,Verona,Spezia,1,1,D,0,0,D,7,12,6,2,27,16,5,5,6,2,0,0
I1,Crotone,Inter,0,2,A,0,0,D,6,23,1,10,10,9,4,11,1,2,0,0
I1,Milan,Benevento,2,0,H,1,0,H,20,14,11,2,16,8,6,7,2,0,0,0
I1,Lazio,Genoa,4,3,H,2,0,H,18,10,12,5,13,12,7,4,3,4,0,0
I1,Bologna,Fiorentina,3,3,D,1,1,D,11,9,6,4,16,12,3,5,2,2,0,0
I1,Napoli,Cagliari,1,1,D,1,0,H,18,12,6,7,8,14,3,1,1,3,0,0
I1,Sassuolo,Atalanta,1,1,D,0,1,A,12,10,7,9,18,12,4,4,6,1,1,1
I1,Udinese,Juventus,1,2,A,1,0,H,7,13,2,4,14,18,2,6,3,0,0,0
I1,Sampdoria,Roma,2,0,H,1,0,H,12,10,9,5,14,13,8,8,0,3,0,0
I1,Torino,Parma,1,0,H,0,0,D,13,8,5,1,10,17,5,2,0,3,0,0
I1,Spezia,Napoli,1,4,A,0,3,A,6,13,3,7,15,18,1,2,3,2,0,0
I1,Udinese,Bologna,1,1,D,1,0,H,9,16,5,4,12,18,5,10,1,1,0,0
I1,Inter,Sampdoria,5,1,H,3,1,H,12,13,7,4,10,14,2,8,0,2,0,0
I1,Fiorentina,Lazio,2,0,H,1,0,H,9,8,5,3,12,14,5,7,4,8,0,1
I1,Genoa,Sassuolo,1,2,A,0,1,A,13,13,5,7,17,15,8,2,2,0,0,0
I1,Benevento,Cagliari,1,3,A,1,1,D,7,7,7,4,17,20,4,5,2,2,0,0
I1,Parma,Atalanta,2,5,A,0,1,A,5,18,2,13,12,15,1,3,1,1,0,0
I1,Verona,Torino,1,1,D,0,0,D,19,6,7,4,16,22,9,3,3,3,0,0
I1,Roma,Crotone,5,0,H,0,0,D,20,7,13,2,10,11,8,4,2,0,0,0
I1,Juventus,Milan,0,3,A,0,1,A,16,11,4,6,17,12,8,2,2,2,0,0
I1,Napoli,Udinese,5,1,H,2,1,H,21,5,12,2,8,14,8,3,0,1,0,0
I1,Cagliari,Fiorentina,0,0,D,0,0,D,7,2,1,0,18,10,3,1,1,2,0,0
I1,Atalanta,Benevento,2,0,H,1,0,H,14,3,4,1,19,11,7,5,2,5,0,1
I1,Bologna,Genoa,0,2,A,0,1,A,17,12,8,9,9,11,12,4,1,3,0,0
I1,Inter,Roma,3,1,H,2,1,H,13,17,5,6,4,12,5,8,0,4,0,0
I1,Lazio,Parma,1,0,H,0,0,D,14,11,6,5,13,14,7,2,1,3,0,0
I1,Sampdoria,Spezia,2,2,D,1,1,D,14,12,6,7,9,17,5,5,2,2,0,0
I1,Sassuolo,Juventus,1,3,A,0,2,A,17,14,3,8,10,12,3,5,1,2,0,0
I1,Torino,Milan,0,7,A,0,2,A,14,14,1,11,13,15,2,3,2,1,0,0
I1,Crotone,Verona,2,1,H,1,0,H,9,11,4,2,20,11,0,9,3,1,0,0
I1,Genoa,Atalanta,3,4,A,0,3,A,10,14,7,7,13,8,2,4,1,2,0,0
I1,Spezia,Torino,4,1,H,2,0,H,14,6,11,3,25,17,3,6,3,5,0,0
I1,Juventus,Inter,3,2,H,2,1,H,13,7,7,3,10,18,4,3,5,5,1,1
I1,Roma,Lazio,2,0,H,1,0,H,13,10,2,5,8,8,4,4,2,2,0,1
I1,Fiorentina,Napoli,0,2,A,0,0,D,7,18,3,8,15,9,3,6,5,1,1,0
I1,Benevento,Crotone,1,1,D,1,0,H,19,6,11,2,12,19,8,4,2,2,0,1
I1,Udinese,Sampdoria,0,1,A,0,0,D,9,15,2,6,12,13,6,3,3,1,0,0
I1,Parma,Sassuolo,1,3,A,1,1,D,16,15,8,12,13,13,2,12,1,0,0,0
I1,Milan,Cagliari,0,0,D,0,0,D,20,6,4,2,8,8,9,7,2,2,0,0
I1,Parma,Juventus,0,1,A,0,1,A,5,9,4,4,12,14,5,8,2,3,0,0
I1,Fiorentina,Napoli,3,4,A,1,2,A,10,8,6,6,21,16,4,5,2,4,0,0
I1,Udinese,Milan,1,0,H,0,0,D,11,6,6,0,14,11,9,4,1,3,0,0
I1,Cagliari,Brescia,0,1,A,0,0,D,9,8,5,3,10,11,8,8,2,2,0,0
I1,Roma,Genoa,3,3,D,2,2,D,17,6,9,4,15,13,5,1,3,1,0,0
I1,Sampdoria,Lazio,0,3,A,0,1,A,12,16,8,10,13,11,5,9,2,2,0,0
I1,Spal,Atalanta,2,3,A,2,1,H,8,18,3,14,13,16,2,10,2,1,0,0
I1,Torino,Sassuolo,2,1,H,1,0,H,7,13,4,9,21,15,6,6,4,3,0,0
I1,Verona,Bologna,1,1,D,1,1,D,5,14,2,5,12,13,1,6,1,3,1,0
I1,Inter,Lecce,4,0,H,2,0,H,16,10,7,4,14,8,7,7,1,2,0,1
I1,Bologna,Spal,1,0,H,0,0,D,18,7,9,1,13,13,11,2,3,2,0,0
I1,Milan,Brescia,1,0,H,1,0,H,11,4,6,2,14,18,5,3,3,4,0,0
I1,Juventus,Napoli,4,3,H,2,0,H,10,12,8,7,13,13,2,5,3,3,0,0
I1,Lazio,Roma,1,1,D,0,1,A,21,8,13,5,15,13,8,4,4,3,0,0
I1,Atalanta,Torino,2,3,A,1,1,D,19,8,12,6,13,15,12,5,2,2,0,0
I1,Cagliari,Inter,1,2,A,0,1,A,7,9,3,8,12,11,5,5,5,3,0,0
I1,Genoa,Fiorentina,2,1,H,1,0,H,18,15,10,7,17,15,9,8,2,0,0,0
I1,Lecce,Verona,0,1,A,0,0,D,9,11,3,6,14,14,2,7,2,3,0,0
I1,Sassuolo,Sampdoria,4,1,H,3,0,H,11,8,8,5,9,10,3,5,1,3,0,1
I1,Udinese,Parma,1,3,A,1,1,D,17,6,12,3,11,11,8,1,1,3,0,0
I1,Fiorentina,Juventus,0,0,D,0,0,D,15,5,8,4,12,18,10,0,3,3,0,0
I1,Napoli,Sampdoria,2,0,H,1,0,H,19,7,9,2,7,10,8,7,2,2,0,0
I1,Inter,Udinese,1,0,H,1,0,H,15,6,10,4,9,10,8,3,2,1,0,1
I1,Genoa,Atalanta,1,2,A,0,0,D,8,11,3,6,12,14,8,7,3,3,0,0
I1,Brescia,Bologna,3,4,A,3,1,H,9,17,7,6,14,17,2,10,2,6,1,0
I1,Parma,Cagliari,1,3,A,0,2,A,14,6,8,4,12,16,12,3,0,5,0,0
I1,Spal,Lazio,2,1,H,0,1,A,9,11,4,7,9,11,8,5,5,3,0,0
I1,Roma,Sassuolo,4,2,H,4,0,H,14,10,10,5,13,9,8,2,1,2,0,0
I1,Verona,Milan,0,1,A,0,0,D,6,11,2,6,13,16,2,7,4,3,1,1
I1,Torino,Lecce,1,2,A,0,1,A,12,12,3,5,11,19,7,3,1,6,0,0
I1,Cagliari,Genoa,3,1,H,0,0,D,8,7,4,2,12,8,4,3,1,1,0,0
I1,Udinese,Brescia,0,1,A,0,0,D,6,5,3,3,22,16,3,9,4,4,0,0
I1,Juventus,Verona,2,1,H,1,1,D,12,8,3,8,12,20,2,5,0,4,0,1
I1,Milan,Inter,0,2,A,0,0,D,7,11,3,9,15,22,2,6,2,1,0,0
I1,Sassuolo,Spal,3,0,H,2,0,H,17,8,8,3,19,14,7,9,3,2,0,0
I1,Bologna,Roma,1,2,A,0,0,D,5,14,3,7,13,16,3,4,3,6,0,1
I1,Lecce,Napoli,1,4,A,0,2,A,8,12,3,10,12,9,4,6,3,3,0,0
I1,Sampdoria,Torino,1,0,H,0,0,D,10,6,6,1,19,13,7,8,2,1,0,0
I1,Atalanta,Fiorentina,2,2,D,0,1,A,15,6,5,3,14,11,9,1,2,5,0,0
I1,Lazio,Parma,2,0,H,1,0,H,22,3,15,1,7,9,10,5,1,3,0,0
I1,Verona,Udinese,0,0,D,0,0,D,8,5,4,3,7,18,6,6,0,4,0,0
I1,Brescia,Juventus,1,2,A,1,1,D,13,15,3,7,11,14,4,3,1,3,0,0
I1,Roma,Atalanta,0,2,A,0,0,D,8,11,4,4,18,11,5,1,2,1,0,0
I1,Fiorentina,Sampdoria,2,1,H,1,0,H,12,7,8,4,11,16,3,1,4,5,0,1
I1,Genoa,Bologna,0,0,D,0,0,D,8,14,4,2,16,11,5,4,5,4,0,0
I1,Inter,Lazio,1,0,H,1,0,H,9,6,4,4,10,8,4,6,2,3,0,0
I1,Napoli,Cagliari,0,1,A,0,0,D,17,5,8,1,9,13,13,1,1,1,1,0
I1,Parma,Sassuolo,1,0,H,0,0,D,8,8,4,5,19,9,5,4,3,1,0,0
I1,Spal,Lecce,1,3,A,1,1,D,14,9,7,5,13,11,10,1,1,2,0,0
I1,Torino,Milan,2,1,H,0,1,A,11,16,5,4,15,20,3,5,4,5,0,1
I1,Juventus,Spal,2,0,H,1,0,H,17,4,10,1,13,9,13,2,2,2,0,0
I1,Sampdoria,Inter,1,3,A,0,2,A,15,11,2,7,11,13,7,5,2,4,0,1
I1,Sassuolo,Atalanta,1,4,A,0,4,A,9,10,7,8,14,14,7,3,2,2,0,0
I1,Napoli,Brescia,2,1,H,2,0,H,16,7,7,3,11,8,7,7,2,1,0,0
I1,Lazio,Genoa,4,0,H,2,0,H,13,12,11,6,8,11,5,7,1,2,0,0
I1,Lecce,Roma,0,1,A,0,0,D,10,13,6,6,7,19,4,11,2,4,0,0
I1,Udinese,Bologna,1,0,H,1,0,H,9,10,4,4,20,16,4,5,4,3,0,1
I1,Cagliari,Verona,1,1,D,1,0,H,10,11,5,5,18,18,3,5,2,2,0,0
I1,Milan,Fiorentina,1,3,A,0,1,A,7,13,3,8,10,14,4,6,2,4,1,0
I1,Parma,Torino,3,2,H,2,2,D,13,6,7,5,17,15,7,3,2,3,0,1
I1,Spal,Parma,1,0,H,1,0,H,12,5,7,2,9,13,5,8,5,2,1,0
I1,Verona,Sampdoria,2,0,H,1,0,H,6,9,4,3,14,14,9,4,1,3,0,0
I1,Genoa,Milan,1,2,A,1,0,H,11,9,6,7,23,14,7,0,4,4,2,2
I1,Fiorentina,Udinese,1,0,H,0,0,D,8,5,4,1,9,11,12,3,1,2,0,0
I1,Atalanta,Lecce,3,1,H,2,0,H,26,5,14,2,15,14,9,5,2,3,0,0
I1,Bologna,Lazio,2,2,D,2,2,D,17,8,10,6,13,17,5,4,5,4,1,1
I1,Roma,Cagliari,1,1,D,1,1,D,17,6,8,3,17,11,7,1,1,4,0,0
I1,Torino,Napoli,0,0,D,0,0,D,11,10,6,3,11,12,4,5,1,2,0,0
I1,Inter,Juventus,1,2,A,1,1,D,6,8,4,6,22,8,7,2,2,3,0,0
I1,Lazio,Atalanta,3,3,D,0,3,A,12,18,5,9,13,12,3,1,5,2,0,0
I1,Napoli,Verona,2,0,H,1,0,H,13,14,7,6,12,16,6,8,3,3,0,0
I1,Juventus,Bologna,2,1,H,1,1,D,13,7,11,4,15,18,8,5,2,3,0,0
I1,Sassuolo,Inter,3,4,A,1,3,A,7,10,4,7,14,17,5,7,4,3,0,0
I1,Cagliari,Spal,2,0,H,1,0,H,13,8,7,5,16,15,6,6,4,5,0,0
I1,Sampdoria,Roma,0,0,D,0,0,D,7,5,2,1,14,11,7,9,3,4,0,1
I1,Udinese,Torino,1,0,H,1,0,H,10,8,6,5,15,20,6,4,3,3,0,0
I1,Parma,Genoa,5,1,H,3,0,H,15,11,7,6,9,12,3,7,1,2,0,0
I1,Milan,Lecce,2,2,D,1,0,H,18,11,8,7,13,12,8,2,1,2,0,0
I1,Brescia,Fiorentina,0,0,D,0,0,D,3,10,1,6,10,16,6,9,0,3,0,0
I1,Verona,Sassuolo,0,1,A,0,0,D,7,9,5,5,18,13,9,6,5,5,0,0
I1,Lecce,Juventus,1,1,D,0,0,D,9,16,5,6,11,13,3,14,4,1,0,0
I1,Inter,Parma,2,2,D,1,2,A,16,10,7,5,9,11,11,4,3,2,0,0
I1,Genoa,Brescia,3,1,H,0,1,A,12,4,11,2,24,14,5,3,6,4,0,0
I1,Bologna,Sampdoria,2,1,H,0,0,D,10,5,6,3,14,18,11,5,1,3,0,0
I1,Atalanta,Udinese,7,1,H,3,1,H,23,6,16,3,10,5,6,2,2,3,0,1
I1,Spal,Napoli,1,1,D,1,1,D,5,9,3,4,16,14,4,4,4,1,0,0
I1,Torino,Cagliari,1,1,D,0,1,A,8,10,5,5,15,11,6,11,2,3,0,0
I1,Roma,Milan,2,1,H,1,0,H,10,8,5,4,12,17,4,8,4,5,0,0
I1,Fiorentina,Lazio,1,2,A,1,1,D,9,11,3,8,12,13,7,3,5,3,1,0
I1,Parma,Verona,0,1,A,0,1,A,15,6,7,2,13,16,12,3,1,5,0,0
I1,Brescia,Inter,1,2,A,0,1,A,6,6,5,2,14,18,9,8,4,3,0,0
I1,Napoli,Atalanta,2,2,D,1,1,D,15,12,11,6,16,14,2,3,3,3,0,0
I1,Cagliari,Bologna,3,2,H,0,1,A,12,6,5,3,15,20,4,1,2,1,0,0
I1,Juventus,Genoa,2,1,H,1,1,D,18,7,11,3,24,11,10,2,5,3,1,2
I1,Lazio,Torino,4,0,H,2,0,H,16,6,8,3,11,9,8,0,2,2,0,1
I1,Sampdoria,Lecce,1,1,D,0,1,A,15,9,6,4,19,14,9,5,4,4,0,1
I1,Sassuolo,Fiorentina,1,2,A,1,0,H,6,10,5,8,15,20,3,7,3,4,0,0
I1,Udinese,Roma,0,4,A,0,1,A,8,10,5,6,16,16,5,3,4,2,0,1
I1,Milan,Spal,1,0,H,0,0,D,10,5,6,2,17,21,7,6,4,4,0,0
I1,Roma,Napoli,2,1,H,1,0,H,13,12,7,6,23,14,10,4,5,3,1,0
I1,Bologna,Inter,1,2,A,0,0,D,8,11,3,9,12,24,2,7,3,4,0,0
I1,Torino,Juventus,0,1,A,0,0,D,7,14,4,10,22,16,11,6,4,2,0,0
I1,Atalanta,Cagliari,0,2,A,0,1,A,11,12,3,8,15,18,13,2,2,3,1,0
I1,Genoa,Udinese,1,3,A,1,1,D,10,13,2,5,11,13,8,5,0,2,0,0
I1,Lecce,Sassuolo,2,2,D,2,1,H,7,12,4,5,14,16,6,6,2,3,0,0
I1,Verona,Brescia,2,1,H,0,0,D,11,11,6,5,17,17,5,1,1,4,0,1
I1,Fiorentina,Parma,1,1,D,0,1,A,15,7,4,3,15,20,5,2,2,2,0,0
I1,Milan,Lazio,1,2,A,1,1,D,9,8,4,7,12,13,8,4,3,5,0,0
I1,Spal,Sampdoria,0,1,A,0,0,D,7,9,2,4,12,16,8,5,3,1,0,0
I1,Sassuolo,Bologna,3,1,H,1,0,H,13,9,8,7,16,17,4,4,2,6,0,0
I1,Brescia,Torino,0,4,A,0,2,A,5,12,3,7,18,17,4,4,5,3,1,0
I1,Inter,Verona,2,1,H,0,1,A,19,5,13,2,14,11,9,3,3,1,0,0
I1,Napoli,Genoa,0,0,D,0,0,D,13,8,8,3,15,19,5,2,1,4,0,0
I1,Cagliari,Fiorentina,5,2,H,3,0,H,12,10,8,7,12,15,5,6,1,3,0,0
I1,Lazio,Lecce,4,2,H,1,1,D,17,18,7,10,8,10,9,3,2,3,0,0
I1,Sampdoria,Atalanta,0,0,D,0,0,D,5,7,2,3,19,13,1,7,2,4,0,1
I1,Udinese,Spal,0,0,D,0,0,D,11,10,4,4,14,14,3,7,3,5,0,0
I1,Parma,Roma,2,0,H,0,0,D,13,10,8,7,16,9,5,10,3,2,0,0
I1,Juventus,Milan,1,0,H,0,0,D,11,10,5,7,13,10,5,5,1,5,0,0
I1,Atalanta,Juventus,1,3,A,0,0,D,14,11,9,5,17,13,8,3,5,3,0,0
I1,Milan,Napoli,1,1,D,1,1,D,11,12,4,6,19,15,3,4,3,2,0,0
I1,Torino,Inter,0,3,A,0,2,A,5,6,2,5,10,18,12,4,2,3,0,0
I1,Bologna,Parma,2,2,D,1,1,D,11,11,7,7,18,18,15,2,1,3,0,0
I1,Roma,Brescia,3,0,H,0,0,D,14,5,6,2,17,10,17,6,1,1,0,0
I1,Sassuolo,Lazio,1,2,A,1,1,D,5,10,2,6,14,14,5,8,1,3,0,0
I1,Verona,Fiorentina,1,0,H,0,0,D,13,7,8,2,18,8,8,6,3,2,0,0
I1,Sampdoria,Udinese,2,1,H,1,1,D,19,5,13,2,8,22,8,2,2,3,0,1
I1,Lecce,Cagliari,2,2,D,0,1,A,17,6,8,2,13,19,11,2,2,2,1,2
I1,Spal,Genoa,1,1,D,0,0,D,13,13,7,6,12,13,5,4,2,1,0,0
I1,Brescia,Atalanta,0,3,A,0,1,A,9,19,5,12,15,15,2,11,1,3,0,0
I1,Genoa,Torino,0,1,A,0,0,D,5,10,3,3,15,18,6,4,2,3,0,1
I1,Fiorentina,Lecce,0,1,A,0,0,D,13,6,6,6,13,21,9,2,1,3,0,0
I1,Juventus,Sassuolo,2,2,D,1,1,D,17,8,9,4,11,13,9,2,1,5,0,0
I1,Inter,Spal,2,1,H,2,0,H,16,8,10,3,15,17,8,0,1,4,0,0
I1,Lazio,Udinese,3,0,H,3,0,H,15,4,6,0,9,12,2,2,0,1,0,0
I1,Parma,Milan,0,1,A,0,0,D,6,19,0,8,13,15,1,7,1,3,0,0
I1,Napoli,Bologna,1,2,A,1,0,H,20,9,5,6,12,10,7,0,1,5,0,0
I1,Verona,Roma,1,3,A,1,2,A,7,12,3,5,11,14,6,5,3,3,0,0
I1,Cagliari,Sampdoria,4,3,H,0,1,A,12,9,8,5,15,12,6,4,3,1,0,0
I1,Inter,Roma,0,0,D,0,0,D,9,6,2,2,12,11,8,3,3,1,0,0
I1,Atalanta,Verona,3,2,H,1,1,D,21,7,10,2,14,16,13,4,1,5,0,1
I1,Udinese,Napoli,1,1,D,1,0,H,5,12,1,3,20,15,3,10,3,4,0,1
I1,Lazio,Juventus,3,1,H,1,1,D,12,8,8,5,14,10,4,5,4,3,0,1
I1,Lecce,Genoa,2,2,D,0,2,A,22,14,5,4,17,18,11,3,5,6,0,2
I1,Sassuolo,Cagliari,2,2,D,2,0,H,9,4,3,3,10,19,8,4,3,4,0,0
I1,Spal,Brescia,0,1,A,0,0,D,18,12,4,7,17,18,3,1,3,3,0,0
I1,Torino,Fiorentina,2,1,H,1,0,H,10,15,5,5,19,17,3,9,4,3,0,0
I1,Sampdoria,Parma,0,1,A,0,1,A,18,10,6,2,15,12,3,2,3,2,0,0
I1,Bologna,Milan,2,3,A,1,2,A,11,11,4,7,17,19,5,1,4,2,0,0
I1,Brescia,Lecce,3,0,H,2,0,H,13,11,9,4,17,26,4,6,4,6,0,0
I1,Napoli,Parma,1,2,A,0,1,A,22,7,9,5,9,12,11,1,2,2,0,0
I1,Genoa,Sampdoria,0,1,A,0,0,D,5,2,1,1,16,26,4,2,5,3,0,0
I1,Verona,Torino,3,3,D,0,1,A,12,12,8,8,20,19,6,3,3,1,0,0
I1,Bologna,Atalanta,2,1,H,1,0,H,8,15,5,7,14,18,4,4,5,1,1,0
I1,Juventus,Udinese,3,1,H,3,0,H,14,9,12,7,10,4,9,8,2,1,0,0
I1,Milan,Sassuolo,0,0,D,0,0,D,17,10,12,6,14,16,8,3,5,4,0,0
I1,Roma,Spal,3,1,H,0,1,A,18,5,13,3,10,17,8,3,1,3,0,0
I1,Fiorentina,Inter,1,1,D,0,1,A,10,7,5,5,15,17,5,1,3,4,0,0
I1,Cagliari,Lazio,1,2,A,1,0,H,9,13,4,7,11,11,2,9,4,3,0,0
I1,Sampdoria,Juventus,1,2,A,1,2,A,13,10,4,4,7,17,5,5,5,2,1,0
I1,Brescia,Sassuolo,0,2,A,0,1,A,15,11,6,6,16,17,4,4,2,3,0,0
I1,Fiorentina,Roma,1,4,A,1,2,A,7,8,4,6,20,16,5,4,4,3,0,0
I1,Udinese,Cagliari,2,1,H,1,0,H,9,13,2,2,13,14,2,1,3,4,0,1
I1,Inter,Genoa,4,0,H,2,0,H,12,7,9,4,11,12,6,3,1,4,0,0
I1,Torino,Spal,1,2,A,1,1,D,7,7,6,4,24,16,10,3,5,5,1,0
I1,Atalanta,Milan,5,0,H,1,0,H,14,4,12,1,7,12,5,2,2,4,0,0
I1,Lecce,Bologna,2,3,A,0,1,A,7,19,3,16,17,18,6,2,3,3,0,0
I1,Parma,Brescia,1,1,D,0,0,D,13,11,6,4,16,10,9,5,3,2,0,0
I1,Sassuolo,Napoli,1,2,A,1,0,H,12,14,5,11,16,13,7,11,2,2,0,0
I1,Brescia,Lazio,1,2,A,1,1,D,4,15,3,7,12,24,2,5,5,4,1,0
I1,Spal,Verona,0,2,A,0,1,A,12,14,2,9,8,15,3,4,1,1,1,0
I1,Genoa,Sassuolo,2,1,H,1,1,D,10,6,7,3,23,14,1,6,4,6,0,0
I1,Roma,Torino,0,2,A,0,1,A,25,9,11,6,10,21,14,3,5,2,0,0
I1,Bologna,Fiorentina,1,1,D,0,1,A,12,7,7,4,14,23,14,2,2,4,0,0
I1,Atalanta,Parma,5,0,H,3,0,H,18,3,11,1,12,13,2,2,2,4,0,0
I1,Juventus,Cagliari,4,0,H,0,0,D,15,5,11,3,9,15,3,2,1,1,0,0
I1,Milan,Sampdoria,0,0,D,0,0,D,14,6,12,4,12,20,7,5,1,5,0,0
I1,Lecce,Udinese,0,1,A,0,0,D,10,7,6,4,17,11,7,8,1,1,0,0
I1,Napoli,Inter,1,3,A,1,2,A,18,9,8,8,10,22,3,4,0,6,0,0
I1,Cagliari,Milan,0,2,A,0,0,D,6,8,2,4,14,13,3,6,3,1,0,0
I1,Lazio,Napoli,1,0,H,0,0,D,7,11,6,7,9,7,6,6,2,2,0,0
I1,Inter,Atalanta,1,1,D,1,0,H,8,12,5,7,21,13,0,4,3,4,0,0
I1,Udinese,Sassuolo,3,0,H,1,0,H,13,10,9,5,13,13,6,11,0,0,0,0
I1,Fiorentina,Spal,1,0,H,0,0,D,11,9,5,3,18,10,3,4,1,1,0,0
I1,Sampdoria,Brescia,5,1,H,2,1,H,22,9,11,5,14,7,4,2,2,3,0,0
I1,Torino,Bologna,1,0,H,1,0,H,4,10,3,7,16,14,3,9,6,3,0,0
I1,Verona,Genoa,2,1,H,0,1,A,11,3,9,3,14,22,4,2,3,6,0,0
I1,Roma,Juventus,1,2,A,0,2,A,16,5,9,4,12,13,13,2,6,3,0,0
I1,Parma,Lecce,2,0,H,0,0,D,9,11,5,6,19,10,6,5,4,2,0,0
I1,Lazio,Sampdoria,5,1,H,3,0,H,16,6,12,4,12,13,6,4,1,2,0,1
I1,Sassuolo,Torino,2,1,H,0,1,A,7,7,6,3,13,15,13,6,2,4,0,0
I1,Napoli,Fiorentina,0,2,A,0,1,A,10,9,5,5,7,10,4,5,2,2,0,0
I1,Milan,Udinese,3,2,H,0,1,A,19,10,10,7,17,8,9,3,5,1,0,0
I1,Bologna,Verona,1,1,D,1,0,H,5,11,3,8,20,16,3,8,6,2,1,0
I1,Brescia,Cagliari,2,2,D,1,1,D,9,18,6,10,10,18,2,7,4,4,1,0
I1,Lecce,Inter,1,1,D,0,0,D,8,16,3,10,11,9,3,14,2,2,0,0
I1,Genoa,Roma,1,3,A,1,2,A,9,14,8,7,12,13,7,3,2,3,0,0
